Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,0,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049133.0000000000,1049135.0000000000,1048576.0000000000,4194304.0000000000,1048605.0000000000,0.0000000000
1,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,1,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1011760.0000000000,1012738.0000000000,1048576.0000000000,4194304.0000000000,1048608.0000000000,0.0000000000
2,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,2,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049300.0000000000,1050328.0000000000,1048576.0000000000,4194304.0000000000,1048616.0000000000,0.0000000000
3,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,3,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049118.0000000000,1050414.0000000000,1048576.0000000000,4194304.0000000000,1048619.0000000000,0.0000000000
4,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,4,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049274.0000000000,1050246.0000000000,1048576.0000000000,4194304.0000000000,1048583.0000000000,0.0000000000
5,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,5,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049099.0000000000,1050069.0000000000,1048576.0000000000,4194304.0000000000,1048605.0000000000,0.0000000000
6,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,6,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049146.0000000000,1050007.0000000000,1048576.0000000000,4194304.0000000000,1048604.0000000000,0.0000000000
7,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,7,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1048808.0000000000,1049902.0000000000,1048576.0000000000,4194304.0000000000,1048633.0000000000,0.0000000000
8,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,8,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049018.0000000000,1050142.0000000000,1048576.0000000000,4194304.0000000000,1048613.0000000000,0.0000000000
9,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,9,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049111.0000000000,1050133.0000000000,1048576.0000000000,4194304.0000000000,1048611.0000000000,0.0000000000
10,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,11,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1011938.0000000000,1012958.0000000000,1048576.0000000000,4194304.0000000000,1048584.0000000000,0.0000000000
11,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,12,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1048887.0000000000,1050010.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
12,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,13,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049217.0000000000,1050212.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
13,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,14,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049194.0000000000,1051313.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
14,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,15,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1048939.0000000000,1048942.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
15,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,16,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049062.0000000000,1049070.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
16,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,17,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049114.0000000000,1049118.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
17,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,18,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049222.0000000000,1049226.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
18,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,19,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049005.0000000000,1049006.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
19,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,20,43377,43377,16777216,256,0,0,8,0,16,64,0x0,0x148ec494c740,1049238.0000000000,1049244.0000000000,1048576.0000000000,4194304.0000000000,1048577.0000000000,0.0000000000
