Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,0,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049232.0000000000,1049232.0000000000,1048576.0000000000,1048576.0000000000,1048612.0000000000,0.0000000000
1,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,1,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1012091.0000000000,1012091.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
2,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,2,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049196.0000000000,1049196.0000000000,1048576.0000000000,1048576.0000000000,1048614.0000000000,0.0000000000
3,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,3,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049580.0000000000,1049580.0000000000,1048576.0000000000,1048576.0000000000,1048642.0000000000,0.0000000000
4,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,4,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049034.0000000000,1049034.0000000000,1048576.0000000000,1048576.0000000000,1048585.0000000000,0.0000000000
5,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,5,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049130.0000000000,1049130.0000000000,1048576.0000000000,1048576.0000000000,1048649.0000000000,0.0000000000
6,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,6,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049278.0000000000,1049278.0000000000,1048576.0000000000,1048576.0000000000,1048586.0000000000,0.0000000000
7,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,7,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049266.0000000000,1049266.0000000000,1048576.0000000000,1048576.0000000000,1048643.0000000000,0.0000000000
8,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,8,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049337.0000000000,1049337.0000000000,1048576.0000000000,1048576.0000000000,1048586.0000000000,0.0000000000
9,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,9,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049119.0000000000,1049119.0000000000,1048576.0000000000,1048576.0000000000,1048642.0000000000,0.0000000000
10,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,11,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1012168.0000000000,1012168.0000000000,1048576.0000000000,1048576.0000000000,1048584.0000000000,0.0000000000
11,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,12,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049229.0000000000,1049229.0000000000,1048576.0000000000,1048576.0000000000,1048609.0000000000,0.0000000000
12,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,13,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049530.0000000000,1049530.0000000000,1048576.0000000000,1048576.0000000000,1048620.0000000000,0.0000000000
13,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,14,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1048953.0000000000,1048953.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
14,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,15,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049371.0000000000,1049371.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
15,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,16,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049235.0000000000,1049235.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
16,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,17,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049183.0000000000,1049183.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
17,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,18,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049420.0000000000,1049420.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
18,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,19,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049039.0000000000,1049039.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
19,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,20,70681,70681,16777216,256,1024,0,8,0,16,64,0x0,0x15091afc6740,1049168.0000000000,1049168.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
