Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,0,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1048672.0000000000,1048672.0000000000,1048576.0000000000,1048576.0000000000,1048613.0000000000,0.0000000000
1,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,1,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012594.0000000000,1012594.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
2,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,2,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012745.0000000000,1012745.0000000000,1048576.0000000000,1048576.0000000000,1048609.0000000000,0.0000000000
3,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,3,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1048420.0000000000,1048420.0000000000,1048576.0000000000,1048576.0000000000,1048609.0000000000,0.0000000000
4,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,4,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1021110.0000000000,1021110.0000000000,1048576.0000000000,1048576.0000000000,1048629.0000000000,0.0000000000
5,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,5,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1040074.0000000000,1040074.0000000000,1048576.0000000000,1048576.0000000000,1048600.0000000000,0.0000000000
6,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,6,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012654.0000000000,1012654.0000000000,1048576.0000000000,1048576.0000000000,1048607.0000000000,0.0000000000
7,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,7,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012627.0000000000,1012627.0000000000,1048576.0000000000,1048576.0000000000,1048630.0000000000,0.0000000000
8,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,8,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012759.0000000000,1012759.0000000000,1048576.0000000000,1048576.0000000000,1048596.0000000000,0.0000000000
9,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,9,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1013200.0000000000,1013200.0000000000,1048576.0000000000,1048576.0000000000,1048608.0000000000,0.0000000000
10,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,11,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012683.0000000000,1012683.0000000000,1048576.0000000000,1048576.0000000000,1048627.0000000000,0.0000000000
11,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,12,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012603.0000000000,1012603.0000000000,1048576.0000000000,1048576.0000000000,1048599.0000000000,0.0000000000
12,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,13,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1048603.0000000000,1048603.0000000000,1048576.0000000000,1048576.0000000000,1048608.0000000000,0.0000000000
13,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,14,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012515.0000000000,1012515.0000000000,1048576.0000000000,1048576.0000000000,1048628.0000000000,0.0000000000
14,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,15,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1013176.0000000000,1013176.0000000000,1048576.0000000000,1048576.0000000000,1048600.0000000000,0.0000000000
15,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,16,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012563.0000000000,1012563.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
16,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,17,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012621.0000000000,1012621.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
17,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,18,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1031217.0000000000,1031217.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
18,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,19,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1030018.0000000000,1030018.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
19,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,20,19793,19793,16777216,256,0,0,4,4,16,64,0x0,0x145c3c242700,1012615.0000000000,1012615.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
